"test_year","n_train","n_test","accuracy","logloss","brier","window_years"
2009,12530,3000,0.788666666666667,0.389949961606609,0.129854456848011,4
2010,12344,2968,0.797169811320755,0.363463246677228,0.125736421308024,4
2011,12125,2937,0.804562478719782,0.354850950975657,0.121635620184411,4
2012,11862,3001,0.802732422525825,0.34370425760064,0.119530760900187,4
2013,11906,2865,0.799301919720768,0.351896874303642,0.121665039927761,4
2014,11771,2754,0.807552650689906,0.35832686487313,0.123802254693556,4
2015,11557,2875,0.804173913043478,0.349193742042458,0.120062030311164,4
2016,11495,2881,0.801110725442555,0.346343091175425,0.120213982378768,4
2017,11375,2860,0.792657342657343,0.372599604134709,0.127809004912455,4
2018,11370,2941,0.791567494049643,0.3611975787837,0.125870011893464,4
2019,11557,2680,0.778731343283582,0.372474129136224,0.128606138822814,4
2005,15860,3186,0.800062774639046,0.341247623758122,0.118627039566903,5
2006,15798,3187,0.787574521493568,0.360069132303809,0.125219612471794,5
2007,15691,3200,0.79375,0.357042000727456,0.123361261434067,5
2008,15790,2957,0.80622252282719,0.351891128581755,0.120729111802369,5
2009,15725,3000,0.789333333333333,0.391381078777128,0.130007241486909,5
2010,15530,2968,0.797169811320755,0.364474818306242,0.125910314324306,5
2011,15312,2937,0.804562478719782,0.355566866871509,0.121821420090263,5
2012,15062,3001,0.802732422525825,0.343183953702425,0.119349464300522,5
2013,14863,2865,0.799301919720768,0.351691898630607,0.121597013000504,5
2014,14771,2754,0.807552650689906,0.358575898378166,0.123875086272128,5
2015,14525,2875,0.804173913043478,0.349726140687256,0.120253822928995,5
2016,14432,2881,0.801110725442555,0.346468757562926,0.120260146267477,5
2017,14376,2860,0.792657342657343,0.373130028546955,0.1278675466092,5
2018,14235,2941,0.791567494049643,0.361056845015582,0.125821298658657,5
2019,14311,2680,0.778731343283582,0.373304998475781,0.128987972347957,5
